[1, 0, 0, 0, 0, 0, 0, 0] 0 [1, 0, 0, 0, 0, 0, 0, 0] [0.919, 0.011, 0.017, 0.001, 0.037, 0.006, 0.009, 0]
[1, 0, 0, 0, 0, 0, 0, 0] 1 [0, 1, 0, 0, 0, 0, 0, 0] [0.01, 0.921, 0.005, 0.016, 0.001, 0.027, 0.003, 0.017]
[1, 0, 0, 0, 0, 0, 0, 0] 2 [0, 0, 1, 0, 0, 0, 0, 0] [0.026, 0.004, 0.9, 0.03, 0.009, 0.006, 0.018, 0.007]
[1, 0, 0, 0, 0, 0, 0, 0] 3 [0, 0, 0, 1, 0, 0, 0, 0] [0.005, 0.011, 0.011, 0.927, 0.009, 0.013, 0.006, 0.018]
[1, 0, 0, 0, 0, 0, 0, 0] 4 [0, 0, 0, 0, 1, 0, 0, 0] [0.015, 0.004, 0.008, 0.003, 0.92, 0.03, 0.015, 0.005]
[1, 0, 0, 0, 0, 0, 0, 0] 5 [0, 0, 0, 0, 0, 1, 0, 0] [0.002, 0.039, 0.002, 0.017, 0.009, 0.907, 0.006, 0.018]
[1, 0, 0, 0, 0, 0, 0, 0] 6 [0, 0, 0, 0, 0, 0, 1, 0] [0.003, 0, 0.035, 0.012, 0.011, 0, 0.914, 0.025]
[1, 0, 0, 0, 0, 0, 0, 0] 7 [0, 0, 0, 0, 0, 0, 0, 1] [0.011, 0.009, 0.005, 0.029, 0.005, 0.009, 0.016, 0.916]
[0, 1, 0, 0, 0, 0, 0, 0] 0 [0, 1, 0, 0, 0, 0, 0, 0] [0.036, 0.907, 0.003, 0.015, 0.012, 0.022, 0.001, 0.004]
[0, 1, 0, 0, 0, 0, 0, 0] 1 [0, 0, 1, 0, 0, 0, 0, 0] [0.013, 0.032, 0.85, 0.01, 0.012, 0.008, 0.069, 0.006]
[0, 1, 0, 0, 0, 0, 0, 0] 2 [0, 0, 0, 1, 0, 0, 0, 0] [0.001, 0.026, 0.022, 0.884, 0.001, 0.028, 0.002, 0.036]
